Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Wenche,Myklebust,Bakkenfaret 7,Aasen,4813,Norge,NO,19701001-5244,+47,37 94 97 25,1970-10-01,True
Maria,Gunnarsson,Genvägen 388,Södertälje,77522,Sverige,SE,19440716-8778,+46,08-407 714 90,1944-07-16,True
Erik,Lindström,Trädgårdsstigen 805,Skellefteå,64979,Sverige,SE,19980226-2752,+46,030-01 47 55,1998-02-26,True
Birgitta,Ohlsson,Aspstigen 185,Kalmar,60598,Sverige,SE,19440816-3568,+46,0123-70 83 93,1944-08-16,True
Mikaela,Bäckström,Nygränd 32,Varberg,96659,Sverige,SE,19960113-2739,+46,08-71 60 94,1996-01-13,True
Sune,Johansson,Industristigen 0,Helsingborg,14842,Sverige,SE,19470423-7314,+46,08-31 14 68,1947-04-23,True
Bo,Karlsson,Granstigen 6,Göteborg,89699,Sverige,SE,19620122-2850,+46,08-90 47 05,1962-01-22,True
Helene,Lundberg,Gengatan 68,Landskrona,53911,Sverige,SE,19870310-7102,+46,0754-88 13 13,1987-03-10,True
Oliver,Kaikkonen,Kolsinkatu 9,Kruunupyy,54062,Finland,FI,19820905-3423,+358,0338354374,1982-09-05,True
Hjalmar,Klasson,Parkvägen 473,Uppsala,37948,Sverige,SE,19880605-4682,+46,08-379 378 65,1988-06-05,True
Elsa,Hagström,Genstigen 2,Lidköping,17087,Sverige,SE,19530419-7310,+46,+46 (0)49 18 98 35,1953-04-19,True
Alexandra,Svensson,Parkvägen 6,Lidingö,70762,Sverige,SE,19920716-4474,+46,030-10 24 53,1992-07-16,True
Gunnel,Larsson,Ringgatan 677,Helsingborg,78688,Sverige,SE,19731104-6505,+46,0997-06 20 74,1973-11-04,True
Ingrid,Nordin,Parktorget 706,Sandviken,65213,Sverige,SE,19831118-3128,+46,+46 (0)412 505 13,1983-11-18,True
Eric,Johansson,Bäckvägen 185,Landskrona,18560,Sverige,SE,19721205-1813,+46,062-53 38 33,1972-12-05,True
Karl,Kristensen,Karlsenengen 18,Isaksen,6295,Norge,NO,19570930-5872,+47,08 00 57 37,1957-09-30,True
Britt,Kristensen,Berglunden 9,Jensen,3042,Norge,NO,19870226-3098,+47,15 06 37 07,1987-02-26,True
Torill,Helland,Johansenalléen 80,Kimodden,0514,Norge,NO,19920902-3461,+47,+4764144406,1992-09-02,True
Georg,Hellström,Björkvägen 600,Gävle,77316,Sverige,SE,19480301-7168,+46,+46 (0)730 109 62,1948-03-01,True
Barbro,Karlsson,Björkgatan 71,Motala,89139,Sverige,SE,20000725-3659,+46,008-19 74 85,2000-07-25,True
Rachel,Morton,Cannon Throughway 41865,Dannyhaven,71831,Danmark,DK,19851226-9999,+45,410.774.9507x0100,1985-12-26,True
Sigrid,Lien,Vikgjerdet 96A,Karlsen,2728,Norge,NO,19400904-1517,+47,+47 90 54 05 11,1940-09-04,True
Monica,Börjesson,Järnvägsgränd 669,Örnsköldsvik,37345,Sverige,SE,19980113-4147,+46,0335-08 88 36,1998-01-13,True
Alexander,Melin,Kyrkogatan 631,Göteborg,25810,Sverige,SE,19530223-6620,+46,08-346 711 90,1953-02-23,True
Martine,Nygård,Johnsenåsen 7,Mathisen,2591,Norge,NO,19801014-4275,+47,499 28 969,1980-10-14,True
Lars,Olsson,Parkvägen 86,Örnsköldsvik,24474,Sverige,SE,19990904-8588,+46,021-689 66 50,1999-09-04,True
Emily,Cooper,Glover Squares 31602,Moorechester,85276,Danmark,DK,19830909-7188,+45,001-308-358-4803x73406,1983-09-09,True
Brandon,Mahoney,Julie Walk 51247,Ruthstad,66342,Danmark,DK,19580712-8877,+45,+1-568-258-7835x618,1958-07-12,True
Alexandria,Hall,Brock Pine 8949,Anthonyburgh,49815,Danmark,DK,19810803-0180,+45,3649743097,1981-08-03,True
Kristian,Johnsen,Hansenløkka 8B,Mortenø,4900,Norge,NO,19931128-9783,+358,969 56 694,1993-11-28,True
Maria,Ollila,Birger Kaipiaisen tie 022,Mäntsälä,02108,Finland,FI,19530815-190D,+358,(+358) 740156513,1953-08-15,True
Eva,Fransson,Stationsstigen 714,Borås,20757,Sverige,SE,19890323-6849,+46,092-58 13 20,1989-03-23,True
Ola,Martinsen,Bøefaret 27E,Øysteinsand,7362,Norge,NO,19750209-7985,+47,94436523,1975-02-09,True
William,Marshall,Huerta Via 4998,West Jamiehaven,74512,Danmark,DK,19540813-2027,+45,7142374459,1954-08-13,True
Martin,Stenberg,Stationsgatan 28,Ängelholm,60630,Sverige,SE,19781107-8588,+46,005-32 64 35,1978-11-07,True
Anders,Johansson,Aspstigen 081,Umeå,73792,Sverige,SE,19621006-1334,+46,0394-697 14,1962-10-06,True
Vidar,Holm,Hansenplassen 7,Thorstad,2360,Norge,NO,19550115-9491,+47,+4727286141,1955-01-15,True
Bjørg,Hanssen,Christensenhøgda 5,Vegardø,8716,Norge,NO,19961127-6804,+47,+47 60 64 74 22,1996-11-27,True
Elisabet,Nilsson,Björkgatan 578,Östersund,64632,Sverige,SE,19791005-6519,+46,08-287 628 86,1979-10-05,True
Solveig,Nielsen,Knudsenjordet 1F,Thomassen,4659,Norge,NO,20000504-3121,+47,12936476,2000-05-04,True
Nils,Samuelsson,Idrottsgatan 64,Kristianstad,17067,Sverige,SE,19760330-6252,+46,067-30 53 05,1976-03-30,True
Anna,Carlsson,Kvarnvägen 86,Falun,48788,Sverige,SE,19730521-5900,+46,+46 (0)8 433 357 48,1973-05-21,True
Hans,Johansson,Järnvägsgatan 098,Uddevalla,58445,Sverige,SE,19610407-6479,+46,08-63 25 77,1961-04-07,True
Helena,Johansson,Aspgränd 388,Karlskrona,13741,Sverige,SE,19640425-7997,+46,08-808 36 77,1964-04-25,True
Robert,Jordan,Lisa Shore 341,Justinville,21170,Danmark,DK,19630328-4385,+45,914.459.1428x340,1963-03-28,True
Ville,Halonen,Järkälepolku 8,Halsua,12745,Finland,FI,19480707-026P,+358,+358 53 4985211,1948-07-07,True
Gunnar,Amundsen,Olsenrøa 8,Turidberg,9060,Norge,NO,19820503-9049,+47,60 25 85 38,1982-05-03,True
Ove,Lundin,Ekstigen 4,Karlstad,33733,Sverige,SE,19510202-5953,+46,08-299 49 85,1951-02-02,True
Björn,Möller,Järnvägsvägen 2,Trelleborg,67268,Sverige,SE,19620913-1618,+46,0078-50 96 82,1962-09-13,True
Tore,Bøe,Thomassenhaugen 9C,Knutsen,4312,Norge,NO,19900715-6190,+47,80 04 52 77,1990-07-15,True
Andrea,Johnson,Sean Manors 014,Smithland,34720,Danmark,DK,19480703-2110,+45,(386)279-9800x19444,1948-07-03,True
Ivar,Aas,Nygårdekra 3,Berntsen,4881,Norge,NO,19801012-1876,+47,34 95 08 40,1980-10-12,True
Lina,Gustafsson,Storgränd 27,Södertälje,17690,Sverige,SE,19880915-1669,+46,08-819 584 79,1988-09-15,True
Camilla,Haugland,Næssgjerdet 7,Næss,6245,Norge,NO,19640604-1070,+47,936 02 070,1964-06-04,True
Anna,Edvardsen,Berntsenskrenten 580,Cecilievær,8521,Norge,NO,19760902-3509,+47,86 19 58 09,1976-09-02,True
Anette,Danielsen,Thomassenstranda 91C,Fredrikbø,7068,Norge,NO,19760602-0792,+47,96005011,1976-06-02,True
Karin,Lie,Haugetjernet 61A,Kristoffersen,4688,Norge,NO,19970312-4705,+47,951 58 982,1997-03-12,True
Maria,Jönsson,Skogstorget 56,Örebro,52152,Sverige,SE,20001116-8884,+46,+46 (0)8 496 637 12,2000-11-16,True
Lars,Karlsson,Stationstorget 17,Växjö,23441,Sverige,SE,19940821-4466,+46,020-53 69 79,1994-08-21,True
Morten,Vik,Eriksenlyngen 8,Halvorsen,7052,Norge,NO,19411217-4306,+47,29 01 31 75,1941-12-17,True
Sune,Gustafsson,Storvägen 7,Södertälje,58228,Sverige,SE,19790901-8968,+46,08-065 684 81,1979-09-01,True
Maria,Svensson,Skolgatan 853,Varberg,37166,Sverige,SE,19970129-9452,+46,08-849 89 74,1997-01-29,True
Elin,Gustafsson,Genvägen 8,Eskilstuna,51077,Sverige,SE,19920502-8580,+46,08-123 568 54,1992-05-02,True
Erik,Lundberg,Genstigen 42,Trollhättan,36998,Sverige,SE,19460217-8482,+46,008-505 75 98,1946-02-17,True
Ludvig,Larsson,Villagränd 3,Helsingborg,89799,Sverige,SE,19540401-5364,+46,08-826 257 56,1954-04-01,True
Maj,Moberg,Furugatan 280,Kalmar,30483,Sverige,SE,19790713-3889,+46,08-058 936 87,1979-07-13,True
Karl,Karlsson,Stationsvägen 2,Sandviken,50424,Sverige,SE,19810106-5372,+46,0889-322 98,1981-01-06,True
Alexander,Myllymäki,Versotie 096,Juupajoki,51198,Finland,FI,19601204-811L,+358,(+358) 414065830,1960-12-04,True
Carlos,Martin,Robert Alley 666,Alexanderborough,87643,Danmark,DK,19790418-6604,+45,361.255.6999x699,1979-04-18,False
John,Evans,Maldonado Village 5937,North Hannah,98428,Danmark,DK,19690403-0166,+45,001-421-371-6963x25233,1969-04-03,True
Anne-Marie,Johansson,Fabriksstigen 252,Borlänge,82468,Sverige,SE,19880604-2188,+46,017-78 53 52,1988-06-04,True
Anna,Fredriksson,Nystigen 6,Uppsala,19678,Sverige,SE,19760624-9279,+46,0494-67 73 65,1976-06-24,True
Craig,Pollard,Annette Canyon 7121,West Melanie,96801,Danmark,DK,19740314-3404,+45,+1-994-596-1669x38607,1974-03-14,True
Roger,Strömberg,Stationsvägen 303,Skövde,38931,Sverige,SE,19481119-4905,+46,092-89 46 85,1948-11-19,True
Kent,Karlsson,Idrottsgatan 33,Sandviken,71077,Sverige,SE,19870208-6686,+46,000-371 98 75,1987-02-08,True
Kjersti,Rønning,Nguyenstien 77,Bøe,7429,Norge,NO,19771009-5787,+47,87 48 56 77,1977-10-09,True
Hannele,Holm,Böstaksenkuja 098,Kempele,70773,Finland,FI,19470525-3792,+358,+358451164148,1947-05-25,True
Stacy,Ross,Green Flat 956,Port Samantha,25409,Danmark,DK,19560206-3945,+45,001-553-938-4333x5958,1956-02-06,True
Nora,Nygård,Haugenbråten 2,Rasmussen,8760,Norge,NO,19581206-1233,+47,+4736649531,1958-12-06,True
Jessica,Petersson,Storgatan 610,Malmö,52775,Sverige,SE,19791114-7765,+46,+46 (0)8 147 548 57,1979-11-14,True
Ralph,Henson,Price Valleys 488,Burchland,27799,Danmark,DK,19911116-9061,+45,(728)472-8833x933,1991-11-16,True
Kerstin,Johansson,Grangatan 82,Ängelholm,45069,Sverige,SE,19861017-5802,+46,08-628 123 56,1986-10-17,True
Adam,Preston,Jeffrey Fork 53269,Johnsonmouth,26841,Danmark,DK,19630413-3980,+45,996-405-6809,1963-04-13,True
Bertil,Gustafsson,Åkertorget 91,Varberg,11841,Sverige,SE,19460516-6734,+46,08-84 25 43,1946-05-16,True
Johanna,Andersson,Ekgränd 84,Norrköping,81952,Sverige,SE,19560806-9846,+46,08-22 61 12,1956-08-06,True
Monica,Davis,Brown Gateway 491,Smithstad,13084,Danmark,DK,19580918-9393,+45,001-722-856-2019,1958-09-18,True
Angelica,Gustafsson,Ringvägen 846,Halmstad,90822,Sverige,SE,19940204-1785,+46,025-086 53 89,1994-02-04,True
Akseli,Rönkkö,Taimistontie 3,Rääkkylä,83858,Finland,FI,19490725-756X,+358,+358 679532442,1949-07-25,True
Henrik,Strömberg,Ektorget 668,Borlänge,40887,Sverige,SE,19850319-5761,+46,029-21 62 73,1985-03-19,True
Ashley,Collins,Mann Mission 92485,Port Madisonstad,34947,Danmark,DK,19841024-5279,+45,683.903.1132x399,1984-10-24,True
Kayla,Banks,Michael Oval 23335,Thomasview,69354,Danmark,DK,19810216-5529,+45,001-802-535-8065x96050,1981-02-16,True
Anders,Englund,Backtorget 2,Örnsköldsvik,12776,Sverige,SE,19750708-1213,+46,08-29 68 88,1975-07-08,True
Joni,Lindroos,Yhteiskoulunkatu 8,Finström,76191,Finland,FI,19680205-434C,+358,+358577092375,1968-02-05,True
Linn,Haug,Haugespranget 5,Eriksen,9801,Norge,NO,19400308-5951,+47,78593333,1940-03-08,True
Michael,Miller,Smith Plaza 0272,North Davidmouth,90282,Danmark,DK,19800316-9927,+45,001-398-954-2219x94263,1980-03-16,True
Morgan,Söderström,Åkervägen 0,Falun,79892,Sverige,SE,19980817-6374,+46,08-095 918 11,1998-08-17,True
John,Iversen,Rasmussenflata 88,Rasmussen,1534,Norge,NO,19650302-1082,+47,68637785,1965-03-02,True
Helene,Pettersson,Kyrkvägen 85,Landskrona,98988,Sverige,SE,19461207-1159,+46,+46 (0)61 07 99 38,1946-12-07,True
Ragnhild,Ellingsen,Myklebusttoppen 89,Grobø,1977,Norge,NO,19870118-8431,+47,40 94 95 59,1987-01-18,True
Göran,Lund,Parkgränd 937,Uppsala,91651,Sverige,SE,19770816-0261,+46,055-170 85 47,1977-08-16,True
Mona,Johansson,Ringtorget 056,Jönköping,61306,Sverige,SE,19620425-6025,+46,0313-93 76 31,1962-04-25,True
Eric,Blomberg,Ängsgatan 95,Skellefteå,56956,Sverige,SE,19980802-1769,+46,+46 (0)8 181 050 00,1998-08-02,True
Timothy,Barber,Shaffer Cliffs 79780,East Krystal,84447,Danmark,DK,20000312-5924,+45,423-626-1126,2000-03-12,True
Anne,Christensen,Lundetunet 6E,Alexanderfjell,1051,Norge,NO,19551028-4647,+47,+47 79 07 00 20,1955-10-28,True
Karl,Karlsson,Ängsstigen 88,Kalmar,20088,Sverige,SE,19921123-7850,+46,08-645 899 75,1992-11-23,True
Per,Magnusson,Grantorget 04,Växjö,43075,Sverige,SE,19590611-4311,+46,0739-753 32,1959-06-11,True
Valdemar,Jönsson,Storgatan 6,Sandviken,68810,Sverige,SE,19880211-5920,+46,092-23 44 20,1988-02-11,True
Jens,Eide,Myklebustlia 6,Danielsen,1410,Norge,NO,19650809-3464,+47,73166524,1965-08-09,True
Emma,Hansson,Kyrkogatan 551,Karlskoga,27306,Sverige,SE,19780107-6781,+46,08-392 68 64,1978-01-07,True
Tomas,Söderberg,Industrigränd 85,Eskilstuna,49239,Sverige,SE,19860704-0626,+46,08-868 621 72,1986-07-04,True
Therese,Larsson,Fabriksgatan 640,Örebro,24505,Sverige,SE,19960322-5981,+46,+46 (0)456 094 62,1996-03-22,True
Frank,Henderson,Adrienne Center 072,Melendezbury,65077,Danmark,DK,19770608-1109,+45,395.936.6881x466,1977-06-08,True
Rut,Andersson,Skogsstigen 177,Örnsköldsvik,22943,Sverige,SE,19741104-9719,+46,042-99 19 85,1974-11-04,True
Richard,Lee,Christopher Manors 80847,Joelbury,47981,Danmark,DK,19470124-4075,+45,862.710.5334,1947-01-24,True
Gerd,Johannesson,Björkstigen 933,Helsingborg,73465,Sverige,SE,19460227-4194,+46,08-50 30 92,1946-02-27,True
Oskar,Fredriksson,Ringvägen 73,Östersund,88823,Sverige,SE,19961204-4463,+46,082-49 53 47,1996-12-04,True
Margit,Pettersson,Nygränd 02,Stockholm,25571,Sverige,SE,19610911-0360,+46,+46 (0)305 789 25,1961-09-11,True
Jesse,Alvarez,Morales Trail 647,North Stanleyton,87542,Danmark,DK,19590820-3739,45,+1-923-447-3597x91540,1959-08-20,True
Mikael,Karppinen,Agricolantie 355,Kemiönsaari,51775,Finland,FI,19530623-2253,+358,(+358) 005837232,1953-06-23,True
Börje,Magnusson,Fabrikstorget 54,Trelleborg,11114,Sverige,SE,19880330-5341,+46,08-330 897 14,1988-03-30,True
Kent,Pedersen,Strandtorget 43,Falun,64546,Sverige,SE,19490212-9981,+46,+46 (0)95 87 95 41,1949-02-12,True
Bror,Svensson,Idrottsstigen 671,Sandviken,46067,Sverige,SE,19890105-2125,+46,0645-63 09 23,1989-01-05,True
Kristina,Larsson,Skolstigen 4,Helsingborg,30167,Sverige,SE,19550814-2847,+46,+46 (0)352 512 30,1955-08-14,True
Michael,Schwartz,Michael Branch 11444,East Matthewtown,33853,Danmark,DK,19650728-9534,+45,(780)805-2514x0555,1965-07-28,True
Sara,Paulsen,Nguyenløkka 92B,Sivertsen,6220,Norge,NO,19720501-8602,+47,406 04 246,1972-05-01,True
Tone,Hansen,Andersenroa 9,Lindaeid,2938,Norge,NO,19711129-9288,+47,+47 52 75 27 58,1971-11-29,True
Tamara,Middleton,Robert Ville 9182,Michaelton,81796,Danmark,DK,19700101-4152,+45,435.842.1303x282,1970-01-01,True
Olof,Ljungberg,Parkgatan 65,Skövde,52884,Sverige,SE,19470602-4641,+46,086-73 86 70,1947-06-02,True
Rune,Strand,Pettersenfaret 31H,Abrahamsen,5349,Norge,NO,19600102-7492,+47,48556107,1960-01-02,True
Eric,Palm,Parktorget 6,Borlänge,20992,Sverige,SE,19560116-5596,+46,0636-97 00 84,1956-01-16,True
Erik,Nilsson,Skoltorget 65,Falun,29829,Sverige,SE,19730305-3229,+46,+46 (0)01 36 09 99,1973-03-05,True
Rune,Svendsen,Bøeskrenten 573,Haugen,2359,Norge,NO,19850405-7352,+47,86312132,1985-04-05,True
Helena,Linder,Skogsgränd 6,Lund,59489,Sverige,SE,19941214-2761,+46,+46 (0)8 755 298 31,1994-12-14,True
Sindre,Iversen,Kristiansenstykket 1,Antonsen,1969,Norge,NO,19680708-3361,+47,92881613,1968-07-08,True
Joshua,Parrish,Tracy Oval 8639,Martinezberg,67995,Danmark,DK,19610519-5940,+45,350-857-8826x8668,1961-05-19,False
Marjatta,Virtanen,Haagan pappilanpolku 561,Kouvola,18987,Finland,FI,19450223-190D,+358,012 015 6196,1945-02-23,True
Kirsten,Moen,Amundsengata 6,Emilieeid,2579,Norge,NO,19950827-3830,+47,49596683,1995-08-27,True
Paul,Jansson,Ekgränd 2,Motala,32213,Sverige,SE,19800707-5451,+46,+46 (0)88 20 76 91,1980-07-07,True
Oskar,Törnqvist,Genstigen 7,Uppsala,18946,Sverige,SE,19430710-2759,+46,08-490 550 05,1943-07-10,True
Gösta,Lindberg,Fabriksgatan 213,Halmstad,54348,Sverige,SE,19621219-2984,+46,026-13 98 19,1962-12-19,True
Martin,Dahl,Parkstigen 3,Varberg,28990,Sverige,SE,19810802-2615,+46,0216-29 54 81,1981-08-02,True
Antti,Heikkinen,Rapolanpolku 1,Rautjärvi,68398,Finland,FI,19911103-3619,+358,0757705773,1991-11-03,True
Kerstin,Holm,Strandvägen 0,Trelleborg,34290,Sverige,SE,19631206-2088,+46,0745-789 25,1963-12-06,True
Andrea,Green,Mason Valley 922,Rhondamouth,02616,Danmark,DK,19910503-4399,+45,329.768.2507x186,1991-05-03,True
Margareta,Magnusson,Strandtorget 8,Lund,79203,Sverige,SE,19621124-0957,+46,+46 (0)8 213 383 19,1962-11-24,False
Erik,Nyberg,Strandvägen 14,Skellefteå,27452,Sverige,SE,19891219-4768,+46,+46 (0)637 721 08,1989-12-19,True
Jonas,Johansson,Nyvägen 0,Trelleborg,84520,Sverige,SE,19490720-3856,+46,08-24 12 78,1949-07-20,True
Christopher,Zuniga,David Village 2267,Saundersland,75691,Danmark,DK,19680205-5010,+45,7208088104,1968-02-05,True
Bengt,Jonsson,Idrottsgränd 312,Alingsås,70342,Sverige,SE,19571130-1040,+46,004-371 78 12,1957-11-30,True
Asta,Lund,Kyrkvägen 1,Trelleborg,16756,Sverige,SE,19880219-1479,+46,08-67 11 63,1988-02-19,True
Birgitta,Karlsson,Kyrkogatan 7,Örebro,11803,Sverige,SE,19490808-6465,+46,08-18 10 32,1949-08-08,True
Björn,Olsson,Kyrkgatan 29,Jönköping,93446,Sverige,SE,19440725-3425,+46,08-413 197 15,1944-07-25,True
Roar,Jakobsen,Antonsenplassen 90B,Kristoffersen,6294,Norge,NO,19840912-9532,+47,49 02 04 26,1984-09-12,True
Emil,Jacobsen,Solbergmoen 353,Mortenhamn,1519,Norge,NO,19550706-5302,+47,939 01 490,1955-07-06,True
Per,Stenberg,Industrigatan 020,Linköping,40573,Sverige,SE,19530729-6047,+46,+46 (0)836 315 29,1953-07-29,True
Jorunn,Rønning,Vikbakken 5,Gunneid,2857,Norge,NO,19491117-4111,+47,98423268,1949-11-17,True
Jens,Berg,Lienekra 5A,Randifoss,6869,Norge,NO,19750202-5566,+47,97 20 34 80,1975-02-02,True
Matilda,Johansson,Industrigatan 6,Sundsvall,62610,Sverige,SE,19980602-9793,+46,+46 (0)81 90 28 79,1998-06-02,True
Lucas,Alvarado,Michael Islands 8164,Huntside,69572,Danmark,DK,19890926-9664,+45,001-996-224-1095x29654,1989-09-26,True
Ingrid,Thomassen,Paulsentjernet 57,Ritasund,5446,Norge,NO,19661203-8698,+47,933 99 531,1966-12-03,True
Gunvor,Jansson,Nyvägen 51,Landskrona,97134,Sverige,SE,19480727-1638,+46,08-408 877 06,1948-07-27,True
Martine,Vik,Martinsenlunden 8,Fredriksen,9648,Norge,NO,19800516-6632,+47,+47 02 35 48 39,1980-05-16,True
Lawrence,Whitney,Donald Lights 439,New Matthewton,83082,Danmark,DK,19660803-2546,+45,(819)338-6611x52344,1966-08-03,True
Björn,Dahl,Aspstigen 5,Umeå,88328,Sverige,SE,19680427-2914,+46,+46 (0)306 532 15,1968-04-27,True
Brianna,Valencia,Spencer Mountains 951,New Morgan,41884,Danmark,DK,19980525-5020,+45,908.592.0181,1998-05-25,True
Nils,Rønning,Lundemyra 790,Sanderby,2881,Norge,NO,19461126-9251,+47,43 78 97 21,1946-11-26,True
